,name,market_pairs,circulating,max supply,MC,MC_dominance,sixty_days_change,SC
208,DeFiChain,24,300.51184,1,1429.4508104460006,0.0,93.05088659,False
209,Frax,35,1425.5746819078815,1,1428.5836123753124,0.0,0.84783231,False
210,WEMIX,8,123.23368237999999,1,1297.32208651791,0.0,575.85606054,False
211,Creditcoin,4,564.9705552090411,1,1183.575433759887,0.0,-20.22899648,False
212,MobileCoin,7,74.218324,0,1160.9788083905125,0.0,57.6500174,False
213,BitDAO,24,586.2789428606895,1,1130.4158989616687,0.0,7.01534203,False
214,Convex Finance,16,40.703525701312834,1,1097.411520611017,0.0,108.58279031,False
215,Venus BNB,1,84.327095,0,1038.2408855326828,0.0,44.15513526,False
216,SafeMoon,18,585536366.402812,1,964.9754906319146,0.0,1.68191158,False
217,ECOMI,6,166285.821196,1,942.2300903963221,0.0,-27.16036501,False
218,Ethereum Name Service,58,20.244862090547752,1,929.2775798675985,0.0,36.34988318,False
219,Counos X,5,17.86115222823144,1,922.2997599542405,0.0,-40.61483988,False
220,NXM,1,6.6120985232377,0,913.846990170388,0.0,4.23752399,False
221,Rally,38,2185.789145773567,1,905.5921293646413,0.0,-26.59377047,False
222,Illuvium,37,0.64281905822608,1,829.8088455612457,0.0,93.03244051,False
223,Sologenic,13,200.001808,1,848.9164303263507,0.0,524.67266114,False
224,Render Token,39,183.10674132128838,1,733.8415711644069,0.0,317.96148801,False
225,Liquity USD,14,719.4460948060438,1,720.246491377554,0.0,0.29809523,False
226,Radio Caca,35,181850.767347,1,703.6823159794569,0.0,67.44851876,False
227,The Transfer Token,7,104.78939872854876,1,676.6201681646522,0.0,-46.89031795,False
228,Anchor Protocol,20,182.065044564042,1,670.6713851507958,0.0,24.28123501,False
229,WhiteCoin,9,744.201249,1,654.3842033281879,0.0,-7.35518782,False
230,Bloktopia,15,8338.704276,1,644.9590537241005,0.0,565.88576979,False
231,KOK,7,107.33342248999999,0,594.560867555699,0.0,89.80703399,False
232,UFO Gaming,14,25757575.7575755,1,579.8482561855212,0.0,248.23131486,False
233,SuperFarm,41,401.4109044169173,1,530.2025571865537,0.0,99.34645047,False
234,Vulcan Forged PYR,25,18.9977,1,526.229131751067,0.0,260.22734481,False
235,YooShi,15,375732346.025863,1,518.018621840464,0.0,475.63050194,False
236,Rocket Pool,11,10.279742404181,0,495.45338232589853,0.0,41.92115427,False
237,JasmyCoin,30,4754.930779736645,1,490.14136558457665,0.0,48.59941634,False
238,MOBOX,41,79.85307589221581,1,479.9272771777259,0.0,43.84905949,False
239,Alitas,4,60.0,1,470.19588584384275,0.0,-24.80451296,False
240,Tribe,31,453.448622,1,467.53501036419414,0.0,40.76933373,False
241,Boba Network,20,155.00327086000001,1,463.05484240686485,0.0,-30.60543197,False
242,RMRK,2,9.5,1,431.66504814903755,0.0,440.75297093,False
243,Braintrust,17,83.765185,1,431.24206075849355,0.0,-42.68203511,False
244,HyperDAO,5,3034.741471057459,1,421.32016720141155,0.0,514.23323077,False
245,GlitzKoin,15,247.4994279095996,0,412.6820543875664,0.0,558.35201546,False
246,Coin98,44,185.0,1,400.7749693576073,0.0,-35.45526886,False
247,Starlink,19,9979172.029858489,1,397.84174553807946,0.0,161.0128119,False
248,Yield Guild Games,55,69.0750363531021,1,397.6917132345019,0.0,-10.84625728,False
249,Keep Network,48,596.4569022599038,1,393.2328423724752,0.0,54.19863512,False
250,Persistence,9,61.328575380222,0,375.04275645620163,0.0,-17.42947549,False
251,Orbit Chain,7,572.4021636965842,1,372.1012866437111,0.0,-12.51084035,False
252,Mask Network,59,29.13072272384565,1,372.06102768170865,0.0,28.64534074,False
253,Bitpanda Ecosystem Token,4,361.063664,1,364.27809081649224,0.0,13.02537402,False
254,PlayDapp,20,241.594277,1,358.98348401035213,0.0,76.89282003,False
255,DAO Maker,15,63.15736565171352,1,350.4212911580072,0.0,86.34109286,False
256,Frax Share,27,16.20940469824367,0,344.31227435275275,0.0,277.74192296,False
257,Bonfida,23,44.832824896,1,318.6788523723096,0.0,13.95087796,False
258,JOE,18,135.135094,1,316.99468392377497,0.0,22.75884275,False
